term,l,estimate,se,tval,pval,feature
lag_level,NA,-3.735418470107499,0.6993018642600821,-5.341639513659632,2.627051775191362e-6,Exports
host,NA,1.7532315614925125,1.107614206666396,1.582890099224387,0.12015321931485433,Exports
rel_time_bin::-16:is_underperformer,-16,-2.229176316645468,1.2050433844950885,-1.8498722496862547,0.07062478795578175,Exports
rel_time_bin::-15:is_underperformer,-15,-3.036291610924607,1.762982019224041,-1.7222476337342343,0.09160025171575352,Exports
rel_time_bin::-14:is_underperformer,-14,-1.51099826092387,1.4403725441168322,-1.0490329512982643,0.29952747517095185,Exports
rel_time_bin::-13:is_underperformer,-13,-1.8228180492366357,1.2559248090928687,-1.451375142874376,0.15331793478514583,Exports
rel_time_bin::-12:is_underperformer,-12,-1.010854978431096,1.262239063049325,-0.8008427310030053,0.42725262872286984,Exports
rel_time_bin::-11:is_underperformer,-11,-1.8287624536990241,1.2724983547394035,-1.4371432755789602,0.15730162651096674,Exports
rel_time_bin::-10:is_underperformer,-10,-2.5842283911464032,1.5322224697099451,-1.6865882352160038,0.09831035410328542,Exports
rel_time_bin::-9:is_underperformer,-9,-2.735491333899449,1.6293562067867706,-1.678878640843104,0.09981314284571322,Exports
rel_time_bin::-8:is_underperformer,-8,-3.5177879835026475,1.7295404414631488,-2.0339437570633994,0.04762330725026401,Exports
rel_time_bin::-7:is_underperformer,-7,-2.5908389405562677,1.4329808907217323,-1.8080066226503348,0.07700669163399498,Exports
rel_time_bin::-6:is_underperformer,-6,-1.5870515171373405,1.1358876719301534,-1.3971905465269716,0.1689179945414243,Exports
rel_time_bin::-5:is_underperformer,-5,-2.51308598357712,1.551530775923663,-1.6197461388292607,0.11197824082345612,Exports
rel_time_bin::-4:is_underperformer,-4,-0.84455913085596,1.2951947477115913,-0.6520711517307843,0.51753166069201,Exports
rel_time_bin::-3:is_underperformer,-3,1.2080467665595378,1.343383436238105,0.899256856956974,0.37310014626587473,Exports
rel_time_bin::-2:is_underperformer,-2,-0.8052386542693362,0.9244795861930399,-0.8710183180845216,0.3881715686845135,Exports
rel_time_bin::-1:is_underperformer,-1,-0.020451350111044132,1.1796730949205374,-0.017336455496954208,0.9862415898929595,Exports
rel_time_bin::1:is_underperformer,1,-1.8758212889436823,0.7762013108502446,-2.416668540393114,0.019599049722890845,Exports
rel_time_bin::2:is_underperformer,2,-1.627640657168124,1.7051521898693636,-0.9545427480539563,0.3446928890975688,Exports
rel_time_bin::3:is_underperformer,3,-2.1740906888405314,1.377924126752118,-1.5778014526569357,0.12131891424497651,Exports
rel_time_bin::4:is_underperformer,4,-3.345342971462726,2.447763388777449,-1.366693769013997,0.17822381753050853,Exports
rel_time_bin::5:is_underperformer,5,-3.248621950057726,1.308157904334254,-2.483356129481181,0.016639408606419128,Exports
rel_time_bin::6:is_underperformer,6,-3.685255000764562,1.592022340755845,-2.3148261845464506,0.02503944780015975,Exports
rel_time_bin::7:is_underperformer,7,-2.758723867652687,1.0339242145137284,-2.66820703967182,0.01043113616060649,Exports
rel_time_bin::8:is_underperformer,8,-2.0301378087336475,0.8541918997290013,-2.376676493160054,0.02159389036370285,Exports
rel_time_bin::9:is_underperformer,9,-3.0663522826636744,1.3624412211011028,-2.2506308787292113,0.029127319514547452,Exports
rel_time_bin::10:is_underperformer,10,-1.7041235844788647,1.078643867378503,-1.5798760239749055,0.12084257866512628,Exports
rel_time_bin::11:is_underperformer,11,-1.618159727108695,1.5054757725722903,-1.0748493975056606,0.28792927591949163,Exports
rel_time_bin::12:is_underperformer,12,-1.6685137066111755,1.4869288707048656,-1.1221207278195031,0.2675111611468193,Exports
rel_time_bin::13:is_underperformer,13,-1.0267199882825238,1.120178038908857,-0.9165685744764567,0.3640480320119792,Exports
rel_time_bin::14:is_underperformer,14,-1.6619691599399489,1.273079480313407,-1.3054716422974668,0.19808687423126414,Exports
rel_time_bin::15:is_underperformer,15,-0.9822689785125265,0.9235035403310163,-1.0636331487808337,0.2929292904554432,Exports
rel_time_bin::16:is_underperformer,16,-2.599074212850652,1.2923098503168253,-2.011185020537805,0.05006075470252407,Exports
