term,l,estimate,se,tval,pval,feature
lag_level,NA,-7.790281043511346,1.747521969357935,-4.457901634491959,5.117279881708517e-5,Gross fixed capital formation
host,NA,-1.8333641557388793,1.2612113294283627,-1.4536534147452052,0.15268763245434774,Gross fixed capital formation
rel_time_bin::-16:is_underperformer,-16,1.0218852357867756,0.988055914684372,1.0342382658710263,0.3063172140830442,Gross fixed capital formation
rel_time_bin::-15:is_underperformer,-15,0.4846323724944046,1.177289535046765,0.4116509644122113,0.6824665637196135,Gross fixed capital formation
rel_time_bin::-14:is_underperformer,-14,1.8314875560953094,1.5180034828312974,1.2065107734004132,0.2336585662322478,Gross fixed capital formation
rel_time_bin::-13:is_underperformer,-13,0.24027393669369124,1.394526787488848,0.1722978280871587,0.8639431838512828,Gross fixed capital formation
rel_time_bin::-12:is_underperformer,-12,-0.8475324970817293,1.3949484628865747,-0.6075726233841826,0.5463955028000931,Gross fixed capital formation
rel_time_bin::-11:is_underperformer,-11,-0.0877546939501962,1.5419166525156056,-0.05691273507360219,0.9548559795203357,Gross fixed capital formation
rel_time_bin::-10:is_underperformer,-10,-1.6019167445789875,1.887215731953781,-0.8488254508776103,0.40028114242976354,Gross fixed capital formation
rel_time_bin::-9:is_underperformer,-9,-1.1191324687317592,1.8246104536927084,-0.613354191009276,0.5425992401635101,Gross fixed capital formation
rel_time_bin::-8:is_underperformer,-8,-2.148907981139076,2.094747697314065,-1.0258552778907248,0.31021081330426814,Gross fixed capital formation
rel_time_bin::-7:is_underperformer,-7,-2.8794020961059466,1.6563378587530309,-1.7384147086233337,0.08868564197240734,Gross fixed capital formation
rel_time_bin::-6:is_underperformer,-6,-2.835531676907237,1.6003843324699265,-1.77178170229339,0.08291378887348365,Gross fixed capital formation
rel_time_bin::-5:is_underperformer,-5,-2.0339146754778143,1.5005395041446132,-1.355455601042142,0.18175067617980217,Gross fixed capital formation
rel_time_bin::-4:is_underperformer,-4,-0.9203339508882422,1.1683699055406518,-0.787707682749982,0.43482242757724465,Gross fixed capital formation
rel_time_bin::-3:is_underperformer,-3,-0.9569271700954383,0.9963890935182075,-0.9603950668674716,0.34177135526124636,Gross fixed capital formation
rel_time_bin::-2:is_underperformer,-2,0.921879889775289,1.1400575750750557,0.8086257307790767,0.42280486913241144,Gross fixed capital formation
rel_time_bin::-1:is_underperformer,-1,0.08064570446829727,0.535443742035601,0.15061471100905172,0.8809242116219036,Gross fixed capital formation
rel_time_bin::1:is_underperformer,1,1.108128482858436,0.6858308192040207,1.6157461167238538,0.11284298573213515,Gross fixed capital formation
rel_time_bin::2:is_underperformer,2,0.3199847481441671,0.9893464039112929,0.32343044547302735,0.7478040127313514,Gross fixed capital formation
rel_time_bin::3:is_underperformer,3,0.7666134629043235,1.1351882727195963,0.6753183426285142,0.5027826195812786,Gross fixed capital formation
rel_time_bin::4:is_underperformer,4,0.7202945706560873,1.7206663618324212,0.4186137339774636,0.6774052519113091,Gross fixed capital formation
rel_time_bin::5:is_underperformer,5,1.1338717274872763,1.5639226623130487,0.7250177740952196,0.47203548881398105,Gross fixed capital formation
rel_time_bin::6:is_underperformer,6,0.5954508134505656,1.232755681149327,0.48302418926628904,0.6313210266701594,Gross fixed capital formation
rel_time_bin::7:is_underperformer,7,0.12041909460274267,1.3611619692540478,0.08846786592835493,0.9298807135476165,Gross fixed capital formation
rel_time_bin::8:is_underperformer,8,0.1095824551907529,1.326570719483666,0.08260581481355557,0.9345157876681671,Gross fixed capital formation
rel_time_bin::9:is_underperformer,9,-1.6721810779788606,1.3785144475241788,-1.2130312315421206,0.23117947349621154,Gross fixed capital formation
rel_time_bin::10:is_underperformer,10,-1.5396414659444961,1.4890431015894967,-1.0339804565099475,0.3064364569656177,Gross fixed capital formation
rel_time_bin::11:is_underperformer,11,-1.3160400672029662,1.5152830608176597,-0.8685110401041636,0.38952801775332657,Gross fixed capital formation
rel_time_bin::12:is_underperformer,12,-1.6819807215996738,1.4993743876819998,-1.1217883508067517,0.2676510480882203,Gross fixed capital formation
rel_time_bin::13:is_underperformer,13,-1.622289212973098,1.275804911957842,-1.2715809429543137,0.20977860970645423,Gross fixed capital formation
rel_time_bin::14:is_underperformer,14,-1.1044519898822172,1.2212481293799429,-0.904363301209701,0.3704151948822999,Gross fixed capital formation
rel_time_bin::15:is_underperformer,15,-0.8410030906490202,0.9500919555933496,-0.8851807298208294,0.38056553128434134,Gross fixed capital formation
rel_time_bin::16:is_underperformer,16,-0.8216147543855987,0.8336121329981367,-0.985607960659847,0.3293724016903412,Gross fixed capital formation
