term,l,estimate,se,tval,pval,feature
lag_level,NA,-6.131678098722385,0.9668774320705279,-6.341732566445005,8.165004401371192e-8,Imports
host,NA,-0.7012796364875485,1.7470708007968718,-0.4014031006457676,0.6899426787440157,Imports
rel_time_bin::-16:is_underperformer,-16,-2.2584321950961,1.4710697825420596,-1.535231177948235,0.13143207968224202,Imports
rel_time_bin::-15:is_underperformer,-15,-3.36239951584612,1.92485574300722,-1.7468319525041456,0.08719896772520344,Imports
rel_time_bin::-14:is_underperformer,-14,-3.158146799894502,2.506809918341877,-1.2598269923805991,0.21395175419632248,Imports
rel_time_bin::-13:is_underperformer,-13,-1.3108153336719346,1.8651063764337548,-0.70280995777749,0.48564089253927334,Imports
rel_time_bin::-12:is_underperformer,-12,-2.983349815187923,1.852781784878868,-1.6102003158364222,0.11405088322858428,Imports
rel_time_bin::-11:is_underperformer,-11,-2.574172472856053,1.9345055435604432,-1.3306617194377781,0.18972041003858842,Imports
rel_time_bin::-10:is_underperformer,-10,-2.1888004509497554,2.1420279985138455,-1.0218355934041763,0.31208972727993517,Imports
rel_time_bin::-9:is_underperformer,-9,-2.4737297885620695,2.484646478728014,-0.9956063406768705,0.32453981528365505,Imports
rel_time_bin::-8:is_underperformer,-8,-1.8382127533225086,2.9056277715958494,-0.63263876099068,0.5300355805824142,Imports
rel_time_bin::-7:is_underperformer,-7,-2.8567168505863103,2.9355556698285334,-0.9731434767010131,0.3354640072229411,Imports
rel_time_bin::-6:is_underperformer,-6,-2.7241747553966116,2.5495456438333273,-1.0684942087566331,0.29075497096801217,Imports
rel_time_bin::-5:is_underperformer,-5,-3.699751943645695,2.344874354928051,-1.577803917668423,0.12131834736351019,Imports
rel_time_bin::-4:is_underperformer,-4,-2.568629237254893,1.5539417487787963,-1.6529765284146039,0.10500112546097651,Imports
rel_time_bin::-3:is_underperformer,-3,-1.768901196913605,1.2256374481119048,-1.4432499591446055,0.1555824733343253,Imports
rel_time_bin::-2:is_underperformer,-2,-1.434069458576936,0.8908600450210784,-1.6097584200703545,0.11414758013503204,Imports
rel_time_bin::-1:is_underperformer,-1,0.7389779587084196,0.7013842506938571,1.0535993044859109,0.2974529175574024,Imports
rel_time_bin::1:is_underperformer,1,-1.724334843014509,1.302728575953603,-1.3236332378387328,0.19202731651900243,Imports
rel_time_bin::2:is_underperformer,2,-0.7378095817295989,0.8251167359872521,-0.8941881185415659,0.37577754219263604,Imports
rel_time_bin::3:is_underperformer,3,-3.278763073573797,1.7578775567084046,-1.8651828513660669,0.06840542536702858,Imports
rel_time_bin::4:is_underperformer,4,-1.3257295538676344,1.6327491368616298,-0.8119615707872125,0.4209071327942743,Imports
rel_time_bin::5:is_underperformer,5,-0.8034232382268011,1.3805752922156744,-0.5819481507143254,0.563382761924206,Imports
rel_time_bin::6:is_underperformer,6,-3.559232375711052,1.7930573418893112,-1.9850075580743867,0.05299713119489005,Imports
rel_time_bin::7:is_underperformer,7,-3.5384395058758646,1.2376509032934664,-2.8589964233531897,0.006317652465592813,Imports
rel_time_bin::8:is_underperformer,8,-6.2405493267185745,2.373253271647972,-2.62953364534295,0.011519780148975962,Imports
rel_time_bin::9:is_underperformer,9,-7.086975300934231,1.9712579221931843,-3.5951537447973303,7.749839486699562e-4,Imports
rel_time_bin::10:is_underperformer,10,-5.718110091978976,1.3531796156888576,-4.22568447357824,1.086861654976055e-4,Imports
rel_time_bin::11:is_underperformer,11,-4.724040461011247,1.758783356537024,-2.6859706418377187,0.009963464566123346,Imports
rel_time_bin::12:is_underperformer,12,-3.068853091595945,2.385722686154515,-1.2863410778654036,0.2046246765460833,Imports
rel_time_bin::13:is_underperformer,13,-2.553993496991722,2.739871467590993,-0.9321581421617918,0.35601874528927924,Imports
rel_time_bin::14:is_underperformer,14,-2.007751210401346,2.0467895077323495,-0.9809270581153925,0.33165131171522755,Imports
rel_time_bin::15:is_underperformer,15,-1.6962868662689894,1.5129840491681503,-1.1211531722370902,0.26791851893077956,Imports
rel_time_bin::16:is_underperformer,16,-2.3835745767484733,1.7639614148538927,-1.351262310318677,0.1830802585848034,Imports
