Feature,Pre-WC Mean (%),Post-WC Mean (%),Change (pp)
GDP,0.4322899186106712,-1.5829516710880522,-2.0152415896987232
Consumption,-0.42168987599298474,-0.9209018353214442,-0.49921195932845946
Investment,3.3956640207906124,-9.316901170553939,-12.71256519134455
Exports,1.3300858623370304,5.190688535147352,3.8606026728103213
Imports,-0.21484134875908087,-3.95055892895061,-3.7357175801915288
