feature,feature_label,term,estimate,se,tval,pval,l
capital_formation,Capital formation,rel_time_bin::-14:is_winner,2.2074818102276876,1.9414011391045334,1.1370559982497401,0.26127885256348066,-14
capital_formation,Capital formation,rel_time_bin::-13:is_winner,3.739174251848887e-4,1.6850038887910999,2.2190893900734819e-4,0.9998238815105169,-13
capital_formation,Capital formation,rel_time_bin::-12:is_winner,-0.3740883750233871,1.6779232994859217,-0.22294724385673614,0.8245426830441887,-12
capital_formation,Capital formation,rel_time_bin::-11:is_winner,-1.1234734347280084,1.3755550837827986,-0.816741872407202,0.4181966662929786,-11
capital_formation,Capital formation,rel_time_bin::-10:is_winner,-0.2601417956967548,1.3762210425527905,-0.18902617214325582,0.8508862133826969,-10
capital_formation,Capital formation,rel_time_bin::-9:is_winner,1.192074256232762,1.981940113838307,0.6014683531098938,0.5504183464539074,-9
capital_formation,Capital formation,rel_time_bin::-8:is_winner,0.4375985285248558,1.9334361025660947,0.22633203545959776,0.8219246395578618,-8
capital_formation,Capital formation,rel_time_bin::-7:is_winner,0.6127391311133098,1.8627696407058598,0.328939831165127,0.7436624506381799,-7
capital_formation,Capital formation,rel_time_bin::-6:is_winner,0.7101832684192833,1.9168811258819314,0.3704889462524899,0.7126827450140154,-6
capital_formation,Capital formation,rel_time_bin::-5:is_winner,1.03334002402593,2.0159506954455155,0.5125819923872528,0.6106444271869655,-5
capital_formation,Capital formation,rel_time_bin::-4:is_winner,-0.5393847019564805,1.6633140112173141,-0.3242831469697811,0.7471625175378767,-4
capital_formation,Capital formation,rel_time_bin::-3:is_winner,-0.40497038484693576,1.5784299050838386,-0.2565653270649517,0.798634113396689,-3
capital_formation,Capital formation,rel_time_bin::-2:is_winner,-1.5661459246801381,1.1669706646701052,-1.3420610921036966,0.18602377928795696,-2
capital_formation,Capital formation,rel_time_bin::-1:is_winner,-1.2301211677663337,0.9793003735486661,-1.2561224329045997,0.21527975632083762,-1
capital_formation,Capital formation,rel_time_bin::1:is_winner,-0.23900622822104056,0.5047648040282336,-0.4735001852618708,0.6380484010286921,1
capital_formation,Capital formation,rel_time_bin::2:is_winner,1.1099284981381734,1.2347026619284092,0.8989439582195778,0.3732650709104993,2
capital_formation,Capital formation,rel_time_bin::3:is_winner,1.1122654518037067,1.373087842859694,0.8100468280945673,0.42199578502816804,3
capital_formation,Capital formation,rel_time_bin::4:is_winner,-0.15583404923633326,2.0123217565791114,-0.07743992665529126,0.9386023172034055,4
capital_formation,Capital formation,rel_time_bin::5:is_winner,0.9169851871521731,2.0958368835433703,0.43752698234886156,0.6637332410046485,5
