feature,feature_label,l,row_label,repl_coeff,repl_se,repl_pval,mello_coeff,mello_se,mello_pval,repl_stars,mello_stars,diff
capital_formation,Capital formation,1,$l = +1$,-0.23900622822104056,0.5047648040282336,0.6380484010286921,0.229,0.515,0.6565653398542172,,,-0.46800622822104054
capital_formation,Capital formation,2,$l = +2$,1.1099284981381734,1.2347026619284092,0.3732650709104993,1.552,1.128,0.16885676774208275,,,-0.44207150186182664
capital_formation,Capital formation,3,$l = +3$,1.1122654518037067,1.373087842859694,0.421995785028168,1.228,1.37,0.3700656677586683,,,-0.11573454819629325
capital_formation,Capital formation,4,$l = +4$,-0.15583404923633326,2.0123217565791114,0.9386023172034056,-0.029,2.008,0.9884771673708508,,,-0.12683404923633326
capital_formation,Capital formation,8,$l = +8$,2.3511310865052772,1.678948137349311,0.16797297666220343,1.892,1.932,0.32743371356713763,,,0.45913108650527734
capital_formation,Capital formation,16,$l = +16$ (binned),0.15718801240830604,1.2166389366127437,0.8977518477113144,0.185,1.256,0.8829007624365738,,,-0.027811987591693954
exports,Exports,1,$l = +1$,3.772213642471145,2.6295588782709265,0.15803832863209438,3.183,2.631,0.22635328297109597,,,0.5892136424711452
exports,Exports,2,$l = +2$,5.80987248722372,2.626742049446925,0.03187724165886316,5.124,2.767,0.06405094480475976,**,*,0.6858724872237207
exports,Exports,3,$l = +3$,4.270530713225487,2.3977466390408724,0.08136578943969473,3.844,2.359,0.10320636305716921,*,,0.42653071322548675
exports,Exports,4,$l = +4$,5.422101671685311,3.670043827276503,0.14624004635644516,5.049,3.631,0.1643692018819501,,,0.37310167168531105
exports,Exports,8,$l = +8$,-0.8989039597618058,2.5668893087853055,0.7277592179592562,-1.381,2.643,0.6013136870734139,,,0.4820960402381942
exports,Exports,16,$l = +16$ (binned),0.8153618014149667,1.669198882696976,0.6274849321701488,0.501,1.726,0.7716123559094529,,,0.3143618014149667
gdp,GDP,1,$l = +1$,0.32514635596705516,0.26853133357023834,0.2320134275631851,0.454,0.246,0.06496070310730075,,*,-0.12885364403294486
gdp,GDP,2,$l = +2$,0.5968107713569717,0.38674188097523626,0.12949509181700009,0.683,0.37,0.06490005442347054,,*,-0.08618922864302836
gdp,GDP,3,$l = +3$,0.3045478332958725,0.31936410072420096,0.34516155776145563,0.233,0.335,0.48672798581057863,,,0.07154783329587247
gdp,GDP,4,$l = +4$,0.2874786289048723,0.31942080645940707,0.3727087922270673,0.14,0.317,0.6587494599217256,,,0.1474786289048723
gdp,GDP,8,$l = +8$,0.06569341428056612,0.7750457340919122,0.9328116679657594,-0.314,0.985,0.7498920365206141,,,0.37969341428056613
gdp,GDP,16,$l = +16$ (binned),0.0730121179367652,0.4626251895588152,0.8752737079629591,-0.109,0.477,0.8192485932729321,,,0.1820121179367652
government_consumption,Government consumption,1,$l = +1$,0.2018649210055768,0.3112305197683282,0.5197519275373826,0.384,0.368,0.29672684404148103,,,-0.18213507899442322
government_consumption,Government consumption,2,$l = +2$,0.13669475076583543,0.3992380650620904,0.7335845925789135,0.08,0.501,0.8731326532465626,,,0.056694750765835425
government_consumption,Government consumption,3,$l = +3$,0.2975521724515154,0.8273832584928141,0.7207344372486996,0.264,0.884,0.7652128082021545,,,0.03355217245151537
government_consumption,Government consumption,4,$l = +4$,0.13320751790909827,0.7009269091492543,0.8500924624590819,0.082,0.752,0.9131687389767374,,,0.05120751790909826
government_consumption,Government consumption,8,$l = +8$,-0.1955352087773458,1.3440169155449253,0.8849495800733627,-0.64,1.507,0.6710664627059402,,,0.44446479122265425
government_consumption,Government consumption,16,$l = +16$ (binned),-3.715219702338235e-4,0.48386644294076026,0.999390618715012,-0.06,0.52,0.9081402726574327,,,0.059628478029766174
imports,Imports,1,$l = +1$,1.5162654558023223,1.2213497420298685,0.22059349188425256,1.719,1.201,0.1523421787301871,,,-0.20273454419767778
imports,Imports,2,$l = +2$,1.3066309055542025,1.233011654703847,0.29469369980379706,1.429,1.245,0.25105478559544203,,,-0.12236909444579758
imports,Imports,3,$l = +3$,3.1786452239500935,2.009286200750154,0.12036164502266508,3.138,1.947,0.10702499014096713,,,0.04064522395009362
imports,Imports,4,$l = +4$,4.178181529294589,2.13709813409304,0.05653593582820532,4.326,2.084,0.03791099613756259,*,**,-0.14781847070541065
imports,Imports,8,$l = +8$,1.4401406060974684,2.1040633869572645,0.4970481362001181,1.331,2.131,0.5322405819705156,,,0.10914060609746845
imports,Imports,16,$l = +16$ (binned),2.16843922942137,2.881137509488708,0.455423710363859,2.266,2.872,0.43011363458131224,,,-0.09756077057862989
private_consumption,Private consumption,1,$l = +1$,-0.1864335491409176,0.5152641542028576,0.7191072536993712,-0.169,0.515,0.742794213390467,,,-0.017433549140917576
private_consumption,Private consumption,2,$l = +2$,0.1660564750748861,0.5394730695385602,0.7595851094996662,0.214,0.559,0.7018484293382072,,,-0.04794352492511389
private_consumption,Private consumption,3,$l = +3$,-0.1329440650904986,1.040869911372033,0.8989123282190198,-0.198,0.982,0.84020651573933125,,,0.0650559349095014
private_consumption,Private consumption,4,$l = +4$,-0.14406919499157034,1.0399412789914375,0.8904087798012401,-0.149,1.087,0.8909718947876748,,,0.004930805008429656
private_consumption,Private consumption,8,$l = +8$,-0.04814005476760153,0.5277999370925177,0.9277142286574384,-0.184,0.527,0.7269796212567363,,,0.13585994523239847
private_consumption,Private consumption,16,$l = +16$ (binned),0.20081139347639632,0.5346262793869693,0.7088962425196323,0.186,0.538,0.7295494640934429,,,0.014811393476396317
