country_code,country_name,year,population_million,population,unit_measure,source
CAN,Canada,1974,22807969,22807969000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1975,23143275,23143275000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1976,23449808,23449808000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1977,23725843,23725843000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1978,23963203,23963203000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1979,24201544,24201544000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1980,24515667,24515667000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1981,24819915,24819915000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1982,25116942,25116942000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1983,25366451,25366451000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1984,25607053,25607053000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1985,25842116,25842116000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1986,26100278,26100278000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1987,26446601,26446601000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1988,26791747,26791747000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1989,27276781,27276781000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1990,27691138,27691138000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1991,28037420,28037420000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1992,28371264,28371264000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1993,28684764,28684764000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1994,29000663,29000663000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1995,29302311,29302311000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1996,29610218,29610218000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1997,29905948,29905948000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1998,30155173,30155173000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,1999,30401286,30401286000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
CAN,Canada,2000,30685730,30685730000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1970,1360076,1360076000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1971,1376955,1376955000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1972,1392518,1392518000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1973,1405951,1405951000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1974,1418169,1418169000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1975,1429352,1429352000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1976,1439576,1439576000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1977,1450211,1450211000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1978,1460188,1460188000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1979,1468333,1468333000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1980,1477219,1477219000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1981,1487666,1487666000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1982,1498414,1498414000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1983,1508745,1508745000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1984,1518617,1518617000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1985,1528781,1528781000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1986,1540190,1540190000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1987,1552221,1552221000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1988,1561900,1561900000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1989,1568131,1568131000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1990,1569174,1569174000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1991,1561314,1561314000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1992,1533091,1533091000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1993,1494128,1494128000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1994,1462514,1462514000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1995,1436634,1436634000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1996,1415594,1415594000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1997,1399535,1399535000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1998,1386156,1386156000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,1999,1375654,1375654000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2000,1396985,1396985000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2001,1388115,1388115000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2002,1379350,1379350000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2003,1370720,1370720000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2004,1362550,1362550000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
