Variable,N,Mean,Std. Dev.,Min,Max
GDP Growth (%),8737,3.2592632009764078,3.8818745334049503,-21.9849854496331,28.1460936261234
Consumption Growth (%),8693,3.137915023813178,3.683853437431423,-41.4029656131471,41.6764963713716
Investment Growth (%),8693,4.3399443813968634,12.32059376943202,-74.7689648635309,296.814634807528
Exports Growth (%),8693,6.048174524459201,9.13357115109524,-43.7355694594245,77.0582629263306
Imports Growth (%),8693,6.15095111253914,11.071531427616346,-63.7341321678934,89.9494971405894
Population Growth (%),8737,0.7452236915070999,0.8894372075705407,-2.52143541629039,5.56058974060811
