Treatment,N Treated,N Control,ATT (pp),SE,CI Lower,CI Upper,z-stat,p-value
Winner Only,6,267,0.4313530358285119,0.2802030710717282,-0.11784498347207539,0.9805510551290992,1.5394300789733006,0.12369933554005352
Finalist (Winner + Runner-up),11,262,0.204609243077024,0.307619255266701,-0.39832449724570995,0.8075429833997579,0.6651379573090477,0.505962258882722
